normalized description,label_num
enron methanol meter follow note give monday flow datum provide please volume presently activity obtain gas control change need soon economics purpose,0
hpl nom see attach file hplnol xls hplnol xls,0
neon retreat ho ho ho time year neon leader retreat time time year extremely think anything holiday life go week december think calender hand begin fall semester retreat schedule weekend youth minister conference brad dustin connect week go change date weekend january come part need think think agree get time recharge battery get far spring semester lot trouble get away kid etc brad come get together weekend let know prefer option retreat do year year go country inn com brenham place bedroom bedroom house side country relax also close hour minute golf shop antique craft store brenham eat dinner together spend time meet return morning do second option stay houston dinner together restaurant dessert time visit recharge home saturday evening easy trade time together let decide email back preference course weekend process prevail majority vote rule let hear soon preferably end weekend vote go way complain weekend golf fishing shopping whatever make bobby,0
photoshop window office cheap trend abasement darer prudently undergone lighthearte charm orinoco taster railroad cuvi irvin parkhouse chlorophyll robe fogarty bayda inconvenience manage represent smartness academy shareholder unload badness danielson pure caffein spaniard levin,1
spring deal book teco pvr revenue understand send check receive price associate deal let know give chase deal need,0
ehronline web address change message intend user change ehronline url also know access need change computer change involve add letter reference access ehronline https ehronline enron com change make add browser,0
spring saving take save use customer appreciation spring saving foot locker foot locker kid locker online store customer appreciation spring saving certificate use certificate purchase store hurry day sale begin end sunday march share saving today mail offer friend item already reduce discount take sale price click print customer appreciation spring saving certificate present coupon foot locker foot locker kid locker store foot locker canada participate program set save spring saving discount automatically use link type camlem promotion code box checkout footlock com certificate code camlem ladyfootlocker com certificate code camlem kidsfootlocker com certificate code camlem remember hassle simply bring item store mail leave register today learn product promotion event simply term condition exclusion apply see manager detail certificate present time purchase use conjunction discount offer benefit cash taxis pay bearer apply purchase gift card purchase prohibit license regulated catalog exclusion apply thursday foot locker canada participate program future email please click unsubscribe,0
looking medication source make condition well law enough ruin law excuse find simpli site medication perscription delivery secure well see rightly pound week squint get anything ever want erection treatment pill anti pill weight loss http splicing com knowledge power quality stuff rate moneyback guarantee nature sufficeth wise hath need author,1
flow agree forward jones utilities eileen ponton david avila lsp tu charlie stone texas utilities tu jones utilities tu scheduling enron com liz bellamy enron com cc flow date flow mcf flow mmbtu btu,0
nomination oct see attached file hplnl xls hplnl xls,0
rnd word asceticism vcsc brand stock attention vocalscape stock symbol vcsc vcsc stock month stock expect bounce cent level stock hit time bounce back stock go day watch soar watch stock go week news vocalscape inc announce agreement resell mix network service price expect project price day expect project price day vocalscape networks inc building company revolutionize telecommunication industry phone system hardware software rate canada vocalscape company reach receive attention development voice ip voip application solution include award win eyefontm time pc phone advanced implementer pbx system company call center itsps service provider vocalscape create software solution revolve communication datum voice convergence company use vocalscape voice internet protocol application ip pbxs softswitche pc phone web phone provide time interaction information delivery internet vocalscape solution business offer quality voice service anywhere world rate significantly distance charge develop software run voip network sell install service brand voip gateway gatekeeper control software also license software customer want brand voip solution vocalscape commit make technology challenge status quo build century company change way business communicate price expect project price day expect project price day break news vocalscape inc announce agreement resell mix network service katonah prnewswire firstcall comtex vocalscape inc pink emerge leader development voice internet protocol voip telephony solution announce today enter sale agent agreement mix networks inc enhance telephony service provider agreement vocalscape turnkey call card customer access mix network service include did phone number distance termination vocalscape also supply client enhance product include pay call mix network network excited help company voip business model use solution picture software network need route call mix network give ability offer rate plan did client allow build business model voip company vonage packet say gibson vp vocalscape network word continue information email contain forward look statement meaning section security act section security exchange act statement involve discussion respect prediction goal expectation belief plan projection assumption event performance statement fact forward look statement forward look statement base expectation estimate projection time statement make involve number risk uncertainty result event differ materially presently look statement action identify use word project foresee estimate believe part anticipate statement indicate action occur information email pertain stock security understand information investment advice emerge equity alert advise reader subscriber advice register security representative decide trade stock feature none material report construe kind investment advice please mind interpretation witer newsletter news company represent company statement fact differ news release mean say look news release judge detail compliance section disclose hold vcsc share publication report conflict interest result holding intent profit liquidation share share sell time even statement make regard company share conflict interest statement opinion reader publication caution place reliance forward look statement base assumption expectation involve risk uncertainty result differ materially set look statement please advise nothing constitute solicitation invitation get position sell security mention herein newsletter register investment advisor affiliate broker dealer newsletter pay party report statement make opinion treat take position sell security mention time report include look statement security litigation reform act statement include term project price expect believe soar move intend term,1
report wffur attion inst siupie pgst riwe asently rest tont presyou tew cons benco yee fater lyughtatum inence sorepit grather aicy graghteave allarity oarity wow yur coon mer ithat yoit enth excive,1
enron hpl august teco tap enron hpl gas daily ls lsk ic enron,0
vic odin berne hotbox bride cutworm guardia counterflow hereafter pessimum yaounde cannel bitch penetrate demagogue adenosine rubin gil luminosity delicti yarmulke selfadjoint agleam exeter picofarad consulate boyhood balfour pillory hoosi cat handful,1
tenaska iv july please remove price tenaska sale deal july demand fee amount thank megan,0
subject issue return equity stock report sieep stock company gaming transactions stock symbol ggts currentiy trade rating purchase term target term target news ggts gaming transactions ggts eade provider online gaming management pleased announce launch gaming com furthermore company begin marketing campaign support establish gaming industry game destination people piay casino style game win money foundation site version keno game keno use ball number thru game house bail random display number screen call keno board locate website game player guess number house site also game inciude bingo poker blackjack slot video game version tabie game smyth ceo gaming transactions inc remark game deveiope foresight create experience load time transaction system deveiope multipie layer security redundancy spend time resource test software ensure functionality security consumer focus group use process make player experience online marketing effort wi aim customer service attention company gaming transactions provider game service entertainment gaming industry company centra game destination gambling property player participate number gaming fixture foundation site course version keno game keno use bail number thru game house draw display number screen call keno board ocate website game piayer number house site also game include poker blackjack slot video game version tabie game game transactions inc part oniine gambie industry say grow industry internet gambling report forecast revenue reach biliion market media grp revenue oniine gambie wi reach bi biilion year according report informa media grp say generate percent online gambling revenue oo europe wil generate percent oniine gambling revenue expect reach biliion year bi europe revenue wil grow year biilion gambling revenue wi smailer asia pacific miliion year rest year mi game grossing product government body game corporation piay profitabie keno become gambier want excitement lottery draw wait weekiy offering combine sophisticated hardware software cut edge encryption decryption technique keno com deveiope system method game information publication contain look statement meaning section security act section security exchange act statement involve discussion respect prediction expectation belief projection goal assumption event performance statement historica fact future look statement future ooking statement base expectation estimate projection time statement make involve number risk uncertainty couid result event differ materia presently future ooking statement action identify use word project foresee anticipate estimate believe understand statement indicate action occur ooking statement base information currentiy avaiiabie number risk uncertainty factor couid ggts resuit performance prospect opportunity differ materialiy express future ooking statement microcap stock today company additiona risk factor raise doubt ability continue go concern report company register security act hence information company risk uncertainty factor include imitation company growth expectation ongoing funding requirement specificaily company growth prospect customer risk include company operate history company history loss consumer acceptance company use licensed technoiogie risk increase competition potentia need financing condition term finance consummate limited trading market company security possibie volatility company stock price concentration ownership fluctuation company operating result publisher report represent information contain message state material fact fact make statement therein misieade information provide report pertain stock security understand information investment advice publisher newsletter advise reader subscriber advice register security representative decide trade stock feature report none materia report construe kind investment advice solicitation company verge bankruptcy lose money stock pubiisher report register investment subscriber view information herein tax accounting investment advice reference performance company specially reference base favorabie performance company wouid need timing resuit exampie give assurance remember always performance future result diligence effort inciude review company fiiing gov edgar online com avaiiabie shouid prior information report gather source include company company press release pubiisher disclose receipt party officer director shareholder company preparation report confiict interest result compensation fact pay pubiication report beiieve information make assurance accuracy compieteness use materia report constitute term stop future maiiing feel place membership piease go biank mai thank stoxo yahoo com,1
delivery wheeler operating vance deal create enter sitara vance taylor pm robert cotten ect cc julie meyers hou lisa hesse hou ect cynthia hakemack hou ect smith hou ect donald reinhardt hou ect melissa grave hou ect subject delivery wheeler operate bob production line ticket create enter base counterparty meter volume price period wheeler operate mmbtu gas daily information create submit committed reserve firm ticket remain term deal begin month march additionally producer deal track wellhead portfolio attach gathering contract vlt forward vance taylor hou ect pm esther buckley molly hou ect clem cernosek hou ect donna consemiu hou ect ect robert cook hou ect howard camp hou ect lisa hesse hou ect hlavaty hou ect wayne lightfoot hou ect james mckay ect smith hou ect steve hpl schneider hou ect melissa graves hou ect michael walters hou ect jill zivley hou ect ect jo johnson hou ees ees rita hou ect ect lauri allen ect cheryl jones gpgfin enron reid hansen gco enron enron darron giron hou ect hou ect smith hou ect bryan hou ect hanks hou ect donald reinhardt hou ect vance taylor hou ect ect david baumbach hou ect ect robert cotten ect riley hou ect jeff austin hou ees ees cynthia hakemack hou ect dawn kenne hou ect lisa csikos hou ect fosdick gco enron enron carlos rodriguez hou ect stephanie gome hou ect pat clynes corp enron enron acton corp enron enron robert walker hou ect george weissman hou ect joanne harris enron enron christy sweeney hou ect earl hou ect daren farmer hou ect cc subject delivery wheeler operate please see letter,0
swift vol information check purchase swift tailgate meter make correct quantity forward poorman enron joan enron enronxgate pm carlos rodriguez hou ect poorman enron enron jackie hou cc riley hou ect ect mike morris corp enron enron swift vol first month nom king ranch plant mmbtu,0
meter variance daren vance flow purchase please respond number suggestion resolution soon enron katherine benedict ect pm poorman enron enron fred hou ect aimee lannou hou ect cc meter variance hi guy please take look meter show variance report variance please send mail please try day thank benedict meter number variance meter swing production month august contact none volume mgmt contact meter number variance meter swing production month august contact none volume mgmt contact anita luong,0
recruiting introduce molly magee addition eop recruiting team toni molly recruiting duty job function please information staffing request toni molly job need toni graham accounting risk confirmation settlement position opening require skill set candidate pool molly datum management research analysis contract administration position opening require skill set candidate pool thank assistance hgm,0
fw ercot load comparison message gilbert smith doug send tuesday tmartin enron com load comparison tom answer vis vis load growth hope help doug forward gilbert smith corp enron kevin cline enron enronxgate pm doug gilbert smith corp enron enron cc saibi corp enron enron load comparison please find spreadsheet day tab tab contain day tab contain day tab contain datum temp datum day question day directly thursday thursday day precede slightly warm day precede peak peak mw similarly day peak obviously even put year year growth believe fall line growth rate year year analysis somewhere let know question comment,0
meter concorde churchill year rate mm volume day price volume mm day less month metering fee rate cover transport ship channel market equistar channelview transport rate month term significantly mm volume day mm metering fee volume mm day less rate start rate friday august get,0
hpl nom see attach file hplnol xls hplnol xls,0
tenaska iv money spot sale tenaska october tenaska sale fee megan,0
jump gain ground immediately upcoming stock explode montana oil gas inc mogi explore opportunity canada energy canada highiy covet reservoir investor trader want watch montana gas morning montana oil gas inc news announce lake oil gas project await rig time surface lease construct wait rig become week anticipate happen week company work interest syivan lake project price reason consider price chart confirm price experience bul market generation gas price ast year multiple project expand production reserve potentialiy worth mogi selie asset montana gas specialize use technology turn oi gas deposit profitabie enterprise share gas sectorare rise fast market fact dow jones ten perform industry sector year energy relate mid sized explorer montana oi mogi gain make month stock make tripie even return news april montana oil gas report follow sylvan lake delay weather road closures province alberta contract drilling rig move location ensign drilling spud well company anticipate road ban lift shortly government regulation resume drill well immediately company lock project also completion tie lift road ban continue interest sylvan lake project montana oil gas prepare detailed project description project history lake oil gas field discover late produce barrel mbbl quality crude oil foot bcf gas predominantly pekisko shunda formation field remain production today continue space drill expanded use dimension lease section lease oil company sylvan field exploratory well drill company shunda pekisko formation completely post cut consequence company exploration section eventually complaint mineral right owner mineral base formation half section back mineral right owner relinquishment time severance seldom ever do specifically often company accordingly sit almost oil gas company think hold lessee land work include field visit partner relinquishment quickly lease half section time partner manage lease acre quarter section section energy right earn possibly drilling test well land discussion partner secure work interest quarter section land comprise acre section square mile acre drilling spacing alberta follow quarter section space acre oil section space gas province decrease drilling production space unit call holding province satisfaction drainage reserve result increase well density almost sylvan lake field pekisko pool space dramatically discover pekisko oil space well discussion pekisko formation principle target oil associate gas production deeply pekisko formation sylvan oil field lie edge pekisko formation edge extremely rugged shape influence drainage seashore condition overlie shoreline cap rock layer shunda formation edge trap feature account barrel reserve production facility discussion area develop oil gas forty year accordingly multitude gas gathering processing facility oil transportation facility construct gas processing facility locate mile project gathering system line half mile drilling location capacity processing facility approximately throughput mmcf accordingly capacity mmcf exist facility interest operator fill soon gas processing facility also oil pipeline access transportation oil product delivery north deer alberta accordingly trucking cost get oil product transportation system detail project description please see news release date fri apr luck trading conclusion example show earn little know company explode investor radar screen already mogi poise position feel time come please watch trade tuesday go penny stock consider highly investor way affiliate feature company compensate dollar report report entertainment advertising purpose use investment advice,1
enron hpl october revision please note pricing allocation volume october change follow teco tap enron hpl iferc hpl gas nomination pricing october remain gas purchase hpl contract gas daily pricing thank ccs charlie stone pm texas utilities tu farmer enron com hanks enron com carlos rodriguez enron com earl enron com ami chokshi enron com david avila lsp tu cc enron hpl october revision gas nominate pricing month take remain purchase gas daily pricing tap enron hpl gas daily forward charlie stone utility pm charlie stone texas utilities tu texas utilities tu farmer enron com hanks enron com carlos rodriguez enron com earl enron com ami chokshi enron com david avila lsp tu cc enron hpl october teco tap enron hpl iferc,0
registration confirmation spinner com join spinner com web source streaming music want confirm registration spinner access spinner professionally program music channel spinner com website remind player website importantly music totally user name junglo omit password privacy please hang easily retrieve user name forget forget password enter user name email address password retrieval page email also change address profile page http www spinner com profile download installation assistance visit help page www spinner com help download question problem please email feedback spinner com user song week almost genre music imagine also learn everything hear click player get bio artist hear artist purchase cd buy cd click rate song let djs know think hear use feedback determine song play click channel see week top song channel playing rank order popularity even channel music visit spinner com find channel play artist download song take part cool promotion contest thank register tell friend spinner enjoy music spinner crew email error service http www spinner com unsubscribe,0
transition item attach outline transtion issue hpl draft itilize item currently require action please add item forward back thank bob,0
inbound message message someone attempt send mail enron type enron message environment mail quarantine hold server sender colio houston rr com date thu sep logitech video mail attachment type scenario incoming inbound exe catcher filename matching file mask detect vmailvid exe intend email business relate content believe require enron resource retrieve call help desk ask release quarantine deliver mail inbox message check virus prior request release contain reason suspect code deliver resolution center resolution center ee help desk solution center houston please reply address monitor system mailbox,0
valero gas marketing meter sitara ticket please volume notice plant schedule come march treat force majeure time lloyd pm howard camp hou ect cc stacey neuweiler hou ect daren farmer hou ect lamphi hou ect ect valero gas marketing meter sitara ticket information agree let deficiency volume hit buyback set presently forward lloyd hou ect pm robert lloyd pm lamphi hou ect stacey neuweiler hou ect daren farmer hou ect cc pat clynes corp enron enron aimee lannou hou ect ect valero gas marketing meter sitara ticket march th valero pull gas day nomination want arrange buyback activity buyback ticket underage tell week march th,0
houston expl dec darren elizabeth fix deal look thank anyway forward parker corp enron pm megan parker daren farmer enron enronxgate cc houston expl dec help danny conner deal december price issue buy gas houston exploration company marlin island hpl meter deal deal price hsc december platform come island hpl meter start flow th danny put deal meter combine gas deal houston exploration think gas hi keep price hsc gd begin flow th receive gas pipeline statement marlin pricing houston exploration show owe price difference purchase gas dec jan deal jan price gd verify deal price send issue danny back say price correct houston exploration sticking price need talk trader name lester lipperdt megan,0
enron hpl october teco tap enron hpl iferc ls hpl lsk ic hpl iferc,0
employee participate enron corp savings plan approach mark calendar enron corp savings plan move administrator saving plan october pm cst day transfer investment fund balance make contribution allocation change change contribution rate th payroll deduction enroll hire october reminder vanguard lifestrategy investment option replace fidelity freedom fund fund remain fund choose cst november cst november saving plan system feature need assistance transition period call press option option cst october pm cst november enron benefit keep pace lifestyle,0
eol product texas gas group definitely roll peak product gas delivery cdt decide roll product probably xl cdt let know sometime today relay price monday steve venturatos hou ect melba lozano hou ect sheri thomas hou ect ect robert cass hou ect cc eol product steve issue immediately come mind term condition ability day nomination require product type gtc presently trade product otc dale neun hou ect cc eol product forward lozano hou ect enron north america steve venturatos sheri thomas hou ect melba lozano hou ect cc eol product finalizing plan introduce gas product july product product xl xl even product introduce give head keep loop,0
pathing procedure buyback path buyback mop supply exist market deal typically please step theory example supply deal supply deal market deal step theory additionally service transportation contract path list path buy path list contract transport contract procedure eliminate balance mop supply deal market deal send pop port note never path buyback supply deal use receipt transport contact market deal use delivery transport contract transaction buyback baseload deal,0
end year clearance item description price gb flash type ii micro mb ddr ram sodimm notebook compaq ps keyboard diamond supraexpress data fax voice modem diamond supramax modem hp deskjet printer hp laserjet printer intel play web camera logitech wireless keyboard mouse web camera build microphone logitech scroll mouse logitech digital mini webcam mini keypad calculator port mini hub power require dvd rewriter olympus trip md focus camera oem memory card reader pocket camcoder camera security lock kit cpu monitor keyboard lock aluminium card backup kb memory super gsm card reader samsung xl dvd cdrw combo toshiba advanced port replicator ethernet adapter gb drive mb ddr ram sodimm gsm card reader logitech digital diamond supramax modem mini keypad stop distributorjebel duty zonedubai www computron com clearance sale list sale department detail please send enquiry dealer aeor contact www computron com compaq hewlett packard com dell intel epson toshiba apc cisco microsoft canon intellinet targus ibm sony lot complaint suggestion contact customerservice computron com tel price dollar ex work fax jebel duty zone www computron com price availability change canada receive offer plain format reply mail request export email consider long include information remove instruction message intend dealer reseller somehow get error reason remove please reply remove line message message send compliance legislation mail section paragraph bill title pass th congress logo property respective export hp sale product exactly show computron follow link click link copy paste address browser please give hour unsubscription,1
enron june thru june teco tap hpl iferc texoma hpl iferc ls hpl katy enron june teco tap enron hpl iferc june teco tap hpl iferc,0
call note please see attached file notes,0
th nom copano forward ami chokshi corp enron troy benoit reliantenergy com ami chokshi corp enron enron cc th nom copano see attached file hpl jan xls hpl jan xls,0
lst rev feb josey ranch nom forward trevino hou ect susan trevino hou ect cc stretch brennan kevin mclarney vance taylor hou ect ect lst rev feb josey ranch revise setup josey use btu mcf note btu revision gas delivery hpl mmbtu kri reduction mmbtu mmbtu hpl bob withers kcs energy suite houston tx voice mail page,0
vlc dln sale prior crip tion need enjoy buy dln online get gra cla buy val lum get online pha rmacy also require discreet shipping shipping charge always money guarantee click info,1
jennifer send destination designate validate public key someone want meet match find purport owner,1
gas nomination julie mention early start unit afternoon still experience difficulty keep inform thank ricky archer supply louisiana houston texas fax calpine daily gas nomination doc gas nomination doc,0
enron hpl october teco tap enron hpl iferc ls hpl lsk ic hpl iferc,0
volume list march information well come lst week march gas daily month pricing month thank smith pm daren farmer hou ect cc melissa graves hou ect donald reinhardt hou ect vance taylor hou ect ect jill zivley hou ect ect volume list march darren volume march counterparty meter volume month gas daily cico oil gas co announce mmbtu day number vance production estimate well anticipated come first week march please let know need information susan smith,0
production sitara deal need vance deal create enter sitara hesco confirm bob vance taylor pm robert cotten ect cc lisa hesse hou ect trisha hughe hou ect heidi wither hou ect mack corp enron enron susan smith hou ect donald reinhardt hou ect melissa grave hou ect production sitara deal need bob follow production line ticket create enter base counterparty meter volume price period hesco oil co mmbtu gas daily less lone star limit mmbtu gas daily less exploration co inc mmbtu gas daily less use vol information create submit committed reserve firm ticket remain term deal begin month additionally producer deal track wellhead portfolio attach gathering contract vlt,0
